

Device Info|Serial Number|Firmware Version|Hardware Version
|301992023;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data|Time|Battery
(0.083251953125, 0.810546875, -0.079833984375)|6.30303166779|61 % 
(0.132080078125, 1.185791015625, -0.088134765625)|6.31302713643|61 % 
(0.01220703125, 1.083984375, -0.02197265625)|6.32254260449|61 % 
(-0.00732421875, 1.050048828125, -0.020751953125)|6.33207940592|61 % 
(0.0029296875, 0.940673828125, -0.021240234375)|6.34160672585|61 % 
(-0.00537109375, 0.98583984375, -0.02001953125)|6.35115972483|61 % 
(-0.00390625, 0.989501953125, -0.0224609375)|6.3606720324|61 % 
(-0.002197265625, 0.96044921875, -0.0224609375)|6.3706971307|61 % 
(-0.002685546875, 0.971923828125, -0.02197265625)|6.38023669756|61 % 
(-0.003173828125, 0.98046875, -0.02197265625)|6.38997735108|61 % 
(-0.001953125, 0.978515625, -0.02294921875)|6.41899111387|61 % 
(-0.001708984375, 0.9755859375, -0.021728515625)|6.42854292766|61 % 
(-0.002197265625, 0.97412109375, -0.022216796875)|6.43804575373|61 % 
(-0.00341796875, 0.974365234375, -0.0185546875)|6.44832448196|61 % 
(-0.002197265625, 0.9765625, -0.023681640625)|6.45758592504|61 % 
(-0.001708984375, 0.973876953125, -0.02001953125)|6.47665202171|61 % 
(-0.000244140625, 0.9755859375, -0.021484375)|6.48835534422|61 % 
(-0.000732421875, 0.97021484375, -0.01953125)|6.50572188332|61 % 
(-0.0009765625, 0.979736328125, -0.022705078125)|6.51494698068|61 % 
(0.001708984375, 0.970947265625, -0.022705078125)|6.52448536235|61 % 
(-0.00390625, 0.970703125, -0.021240234375)|6.53402137365|61 % 
(-0.002197265625, 0.975341796875, -0.01904296875)|6.54351590343|61 % 
(0.000244140625, 0.97802734375, -0.021484375)|6.55305230979|61 % 
(-0.00048828125, 0.97216796875, -0.023681640625)|6.56321014899|61 % 
(-0.000732421875, 0.9736328125, -0.021240234375)|6.57266793798|61 % 
(-0.0009765625, 0.968994140625, -0.021484375)|6.58217906036|61 % 
(-0.00390625, 0.98779296875, -0.0185546875)|6.59171507166|61 % 
(-0.002685546875, 0.979248046875, -0.02001953125)|6.60119379895|61 % 
(-0.0009765625, 0.964111328125, -0.0185546875)|6.61070452627|61 % 
(0.0009765625, 0.971923828125, -0.02001953125)|6.62031085864|61 % 
(0.0, 0.9697265625, -0.02001953125)|6.62978326493|61 % 
(-0.002197265625, 0.9716796875, -0.021728515625)|6.63965942478|61 % 
(-0.001953125, 0.9765625, -0.0224609375)|6.64917410272|61 % 
(-0.001708984375, 0.973876953125, -0.02099609375)|6.6586800893|61 % 
(-0.001708984375, 0.968994140625, -0.01611328125)|6.66825086608|61 % 
(0.0009765625, 0.97265625, -0.01953125)|6.67811398888|61 % 
(-0.00341796875, 0.97265625, -0.021484375)|6.68732407387|61 % 
(-0.002197265625, 0.974609375, -0.0205078125)|6.69684072712|61 % 
