

Device Info|WL Sensor|Firmware Version|Hardware Version
|<YEI3Space WL:12000857>;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data (X, Y, Z)|Time|Battery
(-0.777587890625, 0.287109375, -0.630615234375)|5.79632410429|34 % 
(-0.61279296875, 0.41455078125, -0.556640625)|5.80632115317|34 % 
(-0.631591796875, 0.320068359375, -0.6650390625)|5.81602664616|34 % 
(-0.75048828125, 0.24560546875, -0.699462890625)|5.82537579304|34 % 
(-0.744384765625, 0.284423828125, -0.6357421875)|5.83496197724|34 % 
(-0.74560546875, 0.2998046875, -0.628173828125)|5.8444367539|34 % 
(-0.724609375, 0.33154296875, -0.642578125)|5.85396091334|34 % 
(-0.7353515625, 0.32568359375, -0.64111328125)|5.86346650485|34 % 
(-0.736328125, 0.32080078125, -0.633056640625)|5.87305268905|34 % 
(-0.71435546875, 0.3701171875, -0.59423828125)|5.8825369472|34 % 
(-0.74755859375, 0.297119140625, -0.69482421875)|5.8920970573|34 % 
(-0.728271484375, 0.314453125, -0.700439453125)|5.90209015556|34 % 
(-0.722900390625, 0.346435546875, -0.60791015625)|5.91192127833|34 % 
(-0.740234375, 0.35498046875, -0.60888671875)|5.92146756125|34 % 
(-0.716796875, 0.361328125, -0.60888671875)|5.93105651088|34 % 
(-0.73583984375, 0.369140625, -0.607421875)|5.9405526209|34 % 
(-0.7509765625, 0.3818359375, -0.61328125)|5.95008784208|34 % 
(-0.748046875, 0.375732421875, -0.59912109375)|5.95962345832|34 % 
(-0.73486328125, 0.39453125, -0.605712890625)|5.96915196344|34 % 
(-0.714599609375, 0.4052734375, -0.61572265625)|5.97865992533|34 % 
(-0.704833984375, 0.40771484375, -0.603271484375)|5.98835396151|34 % 
(-0.70556640625, 0.427490234375, -0.5390625)|5.997726022|34 % 
(-0.7265625, 0.374267578125, -0.60888671875)|6.01681700759|34 % 
(-0.723876953125, 0.410888671875, -0.604248046875)|6.02669277238|34 % 
(-0.71435546875, 0.42529296875, -0.58740234375)|6.03622404293|34 % 
(-0.70068359375, 0.45849609375, -0.604248046875)|6.04580351108|34 % 
(-0.7236328125, 0.4521484375, -0.60595703125)|6.05530080628|34 % 
(-0.69677734375, 0.459228515625, -0.580810546875)|6.06488817567|34 % 
(-0.6904296875, 0.4775390625, -0.57568359375)|6.07488522456|34 % 
(-0.70361328125, 0.45947265625, -0.58447265625)|6.0848743722|34 % 
(-0.708740234375, 0.44384765625, -0.58544921875)|6.09437996371|34 % 
(-0.69921875, 0.46484375, -0.57666015625)|6.10397799978|34 % 
(-0.69140625, 0.462890625, -0.575927734375)|6.11396438198|34 % 
(-0.69873046875, 0.47216796875, -0.581787109375)|6.12352883776|34 % 
(-0.70166015625, 0.460693359375, -0.58251953125)|6.13298741687|34 % 
(-0.704345703125, 0.45849609375, -0.58544921875)|6.14266051476|34 % 
(-0.693115234375, 0.4560546875, -0.583984375)|6.15209539014|34 % 
(-0.68798828125, 0.470703125, -0.58154296875)|6.162200291|34 % 
(-0.6943359375, 0.465087890625, -0.576904296875)|6.17164385775|34 % 
(-0.692626953125, 0.453369140625, -0.576416015625)|6.18164406713|34 % 
(-0.69677734375, 0.47021484375, -0.577392578125)|6.1982240374|34 % 
(-0.69482421875, 0.47265625, -0.58935546875)|6.20771145605|34 % 
(-0.70556640625, 0.44482421875, -0.58642578125)|6.21725615872|34 % 
(-0.708251953125, 0.44287109375, -0.58984375)|6.2268028367|34 % 
(-0.71484375, 0.433837890625, -0.60986328125)|6.23667741631|34 % 
(-0.7001953125, 0.4462890625, -0.58935546875)|6.24665115652|34 % 
(-0.70654296875, 0.463623046875, -0.58349609375)|6.25620376044|34 % 
(-0.706298828125, 0.43896484375, -0.587890625)|6.26566945067|34 % 
(-0.716796875, 0.440185546875, -0.60107421875)|6.27528170898|34 % 
(-0.703125, 0.454345703125, -0.581787109375)|6.30382929837|34 % 
(-0.7001953125, 0.4619140625, -0.5830078125)|6.31326535893|34 % 
(-0.712890625, 0.43603515625, -0.60595703125)|6.32284956782|34 % 
(-0.695068359375, 0.46044921875, -0.58251953125)|6.33242982609|34 % 
(-0.6962890625, 0.46435546875, -0.57763671875)|6.34191566449|34 % 
(-0.69580078125, 0.476318359375, -0.578369140625)|6.35146589803|34 % 
(-0.70849609375, 0.44873046875, -0.59326171875)|6.36143766294|34 % 
(-0.7041015625, 0.447265625, -0.5888671875)|6.3709740693|34 % 
(-0.71142578125, 0.438232421875, -0.58349609375)|6.38100035279|34 % 
(-0.71484375, 0.439697265625, -0.583984375)|6.39087809289|34 % 
(-0.73779296875, 0.438720703125, -0.576416015625)|6.40054368459|34 % 
(-0.695068359375, 0.45263671875, -0.604736328125)|6.41010616506|34 % 
(-0.74365234375, 0.406005859375, -0.52978515625)|6.41958449729|34 % 
(-0.72021484375, 0.4599609375, -0.57763671875)|6.42914263207|34 % 
(-0.681640625, 0.4541015625, -0.600830078125)|6.43867785325|34 % 
(-0.6962890625, 0.45947265625, -0.595703125)|6.44835411163|34 % 
(-0.6689453125, 0.509521484375, -0.58642578125)|6.45776409809|34 % 
(-0.63623046875, 0.5234375, -0.575439453125)|6.46724954143|34 % 
(-0.629150390625, 0.54638671875, -0.57568359375)|6.47727661504|34 % 
(-0.63525390625, 0.557861328125, -0.564453125)|6.48677470037|34 % 
(-0.624755859375, 0.57177734375, -0.565185546875)|6.49632137836|34 % 
(-0.5947265625, 0.5986328125, -0.56005859375)|6.50641482242|34 % 
(-0.595703125, 0.59521484375, -0.5634765625)|6.51587142622|34 % 
(-0.5712890625, 0.5732421875, -0.5478515625)|6.52538768441|34 % 
(-0.644287109375, 0.550537109375, -0.551513671875)|6.53500033778|34 % 
