<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button
(0.052976448088884354, -0.9502013921737671, -0.2772347331047058, -0.13210532069206238, 57, 0)
(0.06334103643894196, -0.9480085968971252, -0.28269997239112854, -0.13171379268169403, 57, 0)
(0.07684247195720673, -0.9449526071548462, -0.2896195650100708, -0.13145582377910614, 57, 0)
(0.08332566916942596, -0.9432438015937805, -0.2933652997016907, -0.1314728558063507, 57, 0)
(0.08971519768238068, -0.9413947463035583, -0.29727697372436523, -0.13173314929008484, 57, 0)
(0.10223257541656494, -0.9372215867042542, -0.3058452606201172, -0.13275180757045746, 57, 0)
(0.11577311903238297, -0.9322052597999573, -0.3154869079589844, -0.13438032567501068, 57, 0)
(0.12261064350605011, -0.9293728470802307, -0.32060226798057556, -0.1358201950788498, 57, 0)
(0.1315215677022934, -0.9251396059989929, -0.32779833674430847, -0.13916610181331635, 57, 0)
(0.13615550100803375, -0.9205790162086487, -0.335665225982666, -0.1460311859846115, 57, 0)
(0.13254903256893158, -0.9172793626785278, -0.34322285652160645, -0.15240593254566193, 57, 0)
(0.1286381632089615, -0.9149706959724426, -0.35067346692085266, -0.1526736170053482, 57, 0)
(0.12823551893234253, -0.9135065078735352, -0.3560132086277008, -0.14938630163669586, 57, 0)
(0.1292969137430191, -0.9126289486885071, -0.3593786954879761, -0.14573229849338531, 57, 0)
(0.13476720452308655, -0.9108721613883972, -0.36502015590667725, -0.1375141143798828, 57, 0)
(0.14187562465667725, -0.9091044664382935, -0.3689315617084503, -0.13149139285087585, 57, 0)
(0.15438212454319, -0.9058715105056763, -0.3741605877876282, -0.12476811558008194, 57, 0)
(0.1683623194694519, -0.9018457531929016, -0.3794487714767456, -0.11977969110012054, 57, 0)
(0.17832717299461365, -0.8978811502456665, -0.3850000500679016, -0.11740507185459137, 57, 0)
(0.19286103546619415, -0.89117032289505, -0.3938554525375366, -0.11618106812238693, 57, 0)
(0.2111569494009018, -0.8821114897727966, -0.40465444326400757, -0.11639217287302017, 57, 0)
(0.22966670989990234, -0.8730180859565735, -0.41375869512557983, -0.11788348853588104, 57, 0)
(0.26011911034584045, -0.8578370809555054, -0.42623645067214966, -0.12155783176422119, 57, 0)
(0.2872745990753174, -0.8441361784934998, -0.4349554479122162, -0.12538516521453857, 57, 0)
(0.31585291028022766, -0.8290964365005493, -0.4429934322834015, -0.12881439924240112, 57, 0)
